PATIENT,FIRST_CANCER_DATE,Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,AGE,AGE_AT_DIAGNOSIS,ENCOUNTER_COUNT,LAST_ENCOUNTER_DATE,FOLLOWUP_YEARS,MEDICATION_VALIDATED,PROCEDURE_VALIDATED,VALIDATED_COHORT,VALIDATION_SCORE,PHENOTYPE_CONFIDENCE
00c58f19-a468-e878-5df1-15e828d67e02,1986-02-15,00c58f19-a468-e878-5df1-15e828d67e02,1925-04-25,1995-12-23,999-41-8154,S99979146,X29694939X,Mr.,Salvador46,Estévez304,,,M,white,hispanic,M,Santo Domingo  National District  DO,680 Paucek Forge Unit 45,Springfield,Massachusetts,Hampden County,1103.0,42.14550543936453,-72.52387414787086,412785.3300000001,396938.8800000005,97.54962354551677,60.8104038329911,155,1995-12-30 10:14:21,9.869952087611225,True,True,True,3,High Confidence
00d0d073-c4d7-0331-b93b-fbcc03e7eb28,2006-02-24,00d0d073-c4d7-0331-b93b-fbcc03e7eb28,1964-07-09,,999-83-4315,S99999552,X50391218X,Mrs.,Sallie654,Yost751,,Friesen796,M,white,nonhispanic,F,Pittsfield  Massachusetts  US,710 Runte Rapid Apt 51,Swampscott,Massachusetts,Essex County,,42.48737078140082,-70.90546416708837,2377065.9125,59687.79749999999,58.34360027378508,41.6290212183436,83,2021-08-20 06:58:16,15.485284052019164,False,False,False,1,Low Confidence
00e84dc3-ce19-c87b-fa8f-b42e3d13869f,2017-05-28,00e84dc3-ce19-c87b-fa8f-b42e3d13869f,1952-03-08,,999-62-8089,S99994646,X18581570X,Mr.,Clayton230,Koepp521,,,M,white,nonhispanic,M,Fall River  Massachusetts  US,536 Balistreri Annex,Lowell,Massachusetts,Middlesex County,,42.600808037465995,-71.3688874592175,257997.6710000001,309465.7489999999,70.68035592060232,65.22108145106091,88,2021-10-06 22:06:36,4.358658453114305,False,True,True,2,Moderate Confidence
01061ee0-28e1-ed32-480b-5d9ba1c66798,2016-01-24,01061ee0-28e1-ed32-480b-5d9ba1c66798,1954-03-27,,999-15-4525,S99954719,X83958529X,Mr.,Cary869,Lind531,,,S,white,nonhispanic,M,Gloucester  Massachusetts  US,591 Hyatt Parade Unit 10,Haverhill,Massachusetts,Essex County,1835.0,42.77994584921308,-71.12629356696388,1693326.6800000002,142651.39000000025,68.62970568104038,61.828884325804246,66,2021-03-27 09:32:42,5.171800136892539,False,True,True,2,Moderate Confidence
01810082-f8ac-1db6-37a9-a4a7d5b3769b,1988-12-19,01810082-f8ac-1db6-37a9-a4a7d5b3769b,1922-08-12,1992-05-04,999-60-5722,S99917211,X36275160X,Mr.,Wilton999,Huel628,,,S,black,hispanic,M,Brookline  Massachusetts  US,1077 Carroll Mews,Boston,Massachusetts,Suffolk County,2125.0,42.39507198063626,-71.060297976674,1871716.4325,9745.7875,100.25188227241615,66.35455167693361,75,1992-05-09 20:40:00,3.3867214236824092,True,True,True,3,High Confidence
019f6fea-c96e-eb62-e9ad-f8e44349547b,2011-08-11,019f6fea-c96e-eb62-e9ad-f8e44349547b,1951-08-02,2015-01-26,999-59-5371,S99958648,X56748230X,Mr.,Philip822,Robel940,MD,,M,asian,nonhispanic,M,Somerville  Massachusetts  US,735 Koepp Park,Springfield,Massachusetts,Hampden County,1199.0,42.18297223955603,-72.55169389315101,215815.92500000005,203982.57499999995,71.27994524298425,60.02464065708419,57,2015-01-30 05:48:06,3.4715947980835042,False,True,True,2,Moderate Confidence
01b4decb-f0d4-76c6-41ed-9513e066acdb,1987-07-29,01b4decb-f0d4-76c6-41ed-9513e066acdb,1923-09-25,2000-11-19,999-30-1251,S99940794,X83736355X,Mr.,Samual455,Hand679,,,M,asian,nonhispanic,M,Tewksbury  Massachusetts  US,595 Klein Vale,Cambridge,Massachusetts,Middlesex County,2140.0,42.39702232963311,-71.13244474742287,1973195.9494999992,1121228.5905,99.13210130047912,63.841204654346335,120,2000-11-21 18:20:50,13.316906228610542,True,True,True,3,High Confidence
01b99984-5ba8-e246-234c-2c93e8b2dae6,2002-10-24,01b99984-5ba8-e246-234c-2c93e8b2dae6,1932-06-30,2007-01-16,999-36-3085,S99910932,X61031754X,Mr.,Kermit56,Thompson596,,,M,white,nonhispanic,M,Maynard  Massachusetts  US,623 Mayer Annex,Worcester,Massachusetts,Worcester County,1583.0,42.28394562482697,-71.81963321582346,1963655.9300000004,642879.0900000001,90.36824093086926,70.31622176591375,85,2007-01-18 21:51:34,4.2354551676933605,True,True,True,3,High Confidence
01bd96d0-4dec-6def-1097-ce111ee4821e,1990-05-17,01bd96d0-4dec-6def-1097-ce111ee4821e,1928-03-07,1994-07-30,999-49-8053,S99921657,X75564996X,Mr.,Víctor493,Avilés474,,,M,white,hispanic,M,San Juan  Puerto Rico  PR,752 Nader Walk,Adams,Massachusetts,Berkshire County,1220.0,42.59509574344987,-73.11658131667652,1562899.9749999994,136820.71500000055,94.68309377138947,62.19301848049281,30,1994-08-04 07:05:33,4.216290212183436,False,True,True,2,Moderate Confidence
01c09143-3597-003b-e5dd-3415cd308144,2011-01-27,01c09143-3597-003b-e5dd-3415cd308144,1937-04-29,,999-24-9427,S99933209,X39595312X,Mrs.,Yasmin241,Kohler843,,Toy286,M,white,nonhispanic,F,Lynn  Massachusetts  US,667 Turner Trafficway Suite 78,Falmouth,Massachusetts,Barnstable County,,41.55028150325395,-70.56533234904929,3209200.651,596988.649,85.53867214236824,73.74674880219028,92,2022-01-13 13:27:29,10.962354551676933,False,False,False,1,Low Confidence
01c1d3c7-39ac-6d70-550b-3235c1eb817c,2001-09-12,01c1d3c7-39ac-6d70-550b-3235c1eb817c,1940-04-17,2004-12-04,999-22-5775,S99997454,X76522608X,Mrs.,Lavelle273,Smith67,,Carroll471,M,white,nonhispanic,F,North Westport  Massachusetts  US,1091 Kunde Corner Unit 7,Fall River,Massachusetts,Bristol County,2790.0,41.69960103343167,-71.14193223048144,634087.3784999999,410797.4515,82.57084188911705,61.40451745379877,56,2004-12-08 09:03:31,3.238877481177276,True,True,True,3,High Confidence
01c45680-2626-ab70-3c09-47a81aded521,1991-04-23,01c45680-2626-ab70-3c09-47a81aded521,1924-01-01,2001-07-02,999-87-8824,S99982364,X10534236X,Mr.,Colby655,Okuneva707,,,M,asian,nonhispanic,M,Westfield  Massachusetts  US,634 Nitzsche Underpass Unit 26,Bedford,Massachusetts,Middlesex County,1730.0,42.482961375957885,-71.24834685133247,322809.10900000005,468143.0709999999,98.86379192334017,67.30732375085557,95,2001-07-03 19:48:47,10.195756331279945,False,True,True,2,Moderate Confidence
01cc40be-fe26-e2af-720a-80189c24bb52,2012-09-19,01cc40be-fe26-e2af-720a-80189c24bb52,1947-10-14,2016-01-23,999-85-6406,S99945639,X77474862X,Mr.,Curt84,Powlowski563,,,M,white,nonhispanic,M,Boston  Massachusetts  US,409 Conn Village Suite 40,Boston,Massachusetts,Suffolk County,2118.0,42.3864118927269,-71.14318553167413,2541052.3425000003,9425.0775,75.08008213552361,64.93360711841204,70,2016-01-26 22:06:49,3.351129363449692,True,True,True,3,High Confidence
01f575de-5bd4-665a-6f88-2b9ac9ffbb25,2010-01-23,01f575de-5bd4-665a-6f88-2b9ac9ffbb25,1932-01-01,2012-09-09,999-30-3195,S99993186,X78001196X,Mr.,Erich201,Murphy561,,,M,white,nonhispanic,M,Barnstable  Massachusetts  US,309 Turner Wynd Apt 81,Dedham,Massachusetts,Norfolk County,2090.0,42.22957216070973,-71.19892571862607,381063.9815000001,806625.6485000001,90.86379192334017,78.06160164271047,125,2012-09-14 15:29:07,2.642026009582478,False,True,True,2,Moderate Confidence
02177c81-7f46-8142-63f5-09bb506c9dc2,1997-03-17,02177c81-7f46-8142-63f5-09bb506c9dc2,1930-12-14,2002-02-08,999-38-2579,S99958548,X40361999X,Mr.,Millard193,Grimes165,,,M,asian,nonhispanic,M,Hanson  Massachusetts  US,670 Jacobi Light Unit 56,Boston,Massachusetts,Suffolk County,2134.0,42.371114312960614,-71.04206445663394,2034875.8849999995,285615.505,91.91238877481177,66.25598904859685,46,2002-02-11 07:40:04,4.906228610540725,True,True,True,3,High Confidence
0226f105-2572-1c6f-15f0-1aa0438e40d0,2013-10-21,0226f105-2572-1c6f-15f0-1aa0438e40d0,1933-05-10,,999-93-3295,S99919203,X6308314X,Mrs.,Phylis163,Block661,,Halvorson124,M,black,nonhispanic,F,Raynham  Massachusetts  US,102 Kshlerin Street Apt 94,Boston,Massachusetts,Suffolk County,2124.0,42.34980291945544,-71.02291197575477,4325418.2165,207777.0935,89.50855578370978,80.44900752908967,695,2022-01-13 00:16:17,8.229979466119097,True,True,True,3,High Confidence
02663e0b-2ec8-d904-2bc1-8a9d926828d9,1995-05-01,02663e0b-2ec8-d904-2bc1-8a9d926828d9,1929-08-04,1998-09-16,999-42-4885,S99990653,X49167891X,Mr.,Ismael683,Bosco882,,,S,white,nonhispanic,M,Quincy  Massachusetts  US,675 Cormier Knoll Unit 53,Lynn,Massachusetts,Essex County,1901.0,42.466460879312365,-70.9830091169917,2189822.0075000003,782688.4924999999,93.27310061601642,65.73853524982889,115,1998-09-21 04:06:16,3.3921971252566734,True,True,True,3,High Confidence
027a3b58-a762-687c-c343-6aeeb699da82,1971-04-13,027a3b58-a762-687c-c343-6aeeb699da82,1933-07-09,1975-06-10,999-68-2089,S99917083,X84925686X,Mr.,Roosevelt595,Stokes453,,,M,white,nonhispanic,M,Winchester  Massachusetts  US,885 Gerlach Village,Brockton,Massachusetts,Plymouth County,2302.0,42.08843959152462,-70.97064138815188,1110491.9725,1185.0375,89.34428473648187,37.76043805612594,39,1975-06-15 23:34:06,4.172484599589322,True,True,True,3,High Confidence
02b20a4b-ed0f-98bc-32e7-a6d13aacbb47,2006-08-02,02b20a4b-ed0f-98bc-32e7-a6d13aacbb47,1939-05-02,2010-04-08,999-37-2639,S99965203,X25772022X,Mr.,Jamaal34,Hoppe518,,,M,white,nonhispanic,M,Leominster  Massachusetts  US,1066 Bailey Spur Apt 71,Newton,Massachusetts,Middlesex County,2464.0,42.31509129106637,-71.30306713654329,1811538.3915,169162.4484999993,83.53182751540041,67.25256673511294,49,2010-04-13 17:21:26,3.696098562628337,False,True,True,2,Moderate Confidence
02ea1ae3-7a42-9054-993e-3c40833ca078,2014-03-31,02ea1ae3-7a42-9054-993e-3c40833ca078,1953-03-28,,999-99-2319,S99928825,X68845435X,Mr.,Faustino767,Howell947,,,M,asian,nonhispanic,M,Easton  Massachusetts  US,630 Hills Rue,Watertown,Massachusetts,Middlesex County,,42.41700877164033,-71.14139876716841,1790133.497,146866.813,69.62628336755647,61.007529089664615,82,2021-11-23 16:34:00,7.649555099247091,False,True,True,2,Moderate Confidence
03388e3c-0b3b-8411-3881-60426c3dee10,1985-06-03,03388e3c-0b3b-8411-3881-60426c3dee10,1923-01-08,1987-04-28,999-17-1879,S99951982,X87356525X,Mr.,Mikel238,Mosciski958,,,S,white,nonhispanic,M,Wellesley  Massachusetts  US,215 Harris Road,Braintree,Massachusetts,Norfolk County,2184.0,42.246142398840234,-71.05214006701527,1744597.24,10603.59,99.84394250513347,62.40109514031485,167,1987-05-04 10:31:33,1.9164955509924708,False,True,True,2,Moderate Confidence
0350d88a-08a9-270f-adca-53a066824136,2017-08-18,0350d88a-08a9-270f-adca-53a066824136,1951-09-28,2019-08-24,999-24-5341,S99973701,X78755699X,Mr.,Jacques50,Runte676,,,M,white,nonhispanic,M,Boston  Massachusetts  US,276 Fahey Knoll Apt 40,Upton,Massachusetts,Worcester County,1568.0,42.12856572499627,-71.56116483044126,259754.7805,350793.7794999999,71.12388774811772,65.88911704312115,94,2019-08-30 21:55:34,2.0314852840520192,False,True,True,2,Moderate Confidence
0354645f-84ae-a2bf-aedc-521b1c570f60,1989-10-24,0354645f-84ae-a2bf-aedc-521b1c570f60,1928-12-25,1991-11-10,999-95-6272,S99970862,X80146133X,Mr.,Bart73,Macejkovic424,,,S,white,hispanic,M,Springfield  Massachusetts  US,573 Block Track Apt 58,Boston,Massachusetts,Suffolk County,2203.0,42.36496855202921,-71.07911401169636,1778809.6574999986,505.34249999999986,93.88090349075975,60.82956878850103,58,1991-11-13 03:04:09,2.0533880903490758,False,True,True,2,Moderate Confidence
03813559-e761-8d69-aee3-7ddff324379f,1997-02-18,03813559-e761-8d69-aee3-7ddff324379f,1925-10-19,2001-07-05,999-97-7959,S99936183,X16604406X,Mr.,Trinidad33,Spinka232,,,S,white,nonhispanic,M,Blackstone  Massachusetts  US,464 Schmitt Common Suite 54,New Bedford,Massachusetts,Bristol County,2746.0,41.603572017349336,-70.94716054804098,286965.82550000004,259080.6845000001,97.06502395619438,71.33470225872689,65,2001-07-10 04:59:43,4.388774811772758,False,True,True,2,Moderate Confidence
0388743c-d824-a327-222d-a48a9f3a99f3,1987-07-28,0388743c-d824-a327-222d-a48a9f3a99f3,1927-05-31,1988-09-09,999-96-6125,S99912225,X36786632X,Mr.,Randall756,Funk324,,,M,white,nonhispanic,M,Plymouth  Massachusetts  US,1088 O'Kon Heights,Lowell,Massachusetts,Middlesex County,1852.0,42.602890152093224,-71.29835574567264,1538384.2975,2020.6125,95.45242984257358,60.158795345653665,46,1988-09-13 13:49:42,1.1307323750855578,False,True,True,2,Moderate Confidence
03899665-8595-44b1-011b-04f7abdad380,1997-02-11,03899665-8595-44b1-011b-04f7abdad380,1929-03-18,2015-01-10,999-54-4195,S99976911,X36590432X,Mr.,Emmanuel930,Sauer652,,,S,white,nonhispanic,M,Gloucester  Massachusetts  US,545 Swift Harbor,Norwood,Massachusetts,Norfolk County,,42.18214279163093,-71.17162989549833,2382175.355,468193.8849999995,93.65366187542779,67.90417522245038,143,2015-01-13 04:13:38,17.919233401779604,False,True,True,2,Moderate Confidence
03952c29-e1f5-7a15-1c7c-704ddd2706c1,2002-06-19,03952c29-e1f5-7a15-1c7c-704ddd2706c1,1932-06-21,2007-01-16,999-59-6711,S99993970,X53036526X,Mr.,Gale827,Kertzmann286,,,M,white,nonhispanic,M,Scituate  Massachusetts  US,149 Ebert Track Apt 12,Fall River,Massachusetts,Bristol County,2723.0,41.61330489266541,-71.10399843148791,8359703.045000002,122646.79499999998,90.39288158795345,69.99315537303217,353,2007-01-24 07:54:01,4.59958932238193,False,True,True,2,Moderate Confidence
03a292ca-5053-4195-ef78-ac536c6a584e,1984-05-15,03a292ca-5053-4195-ef78-ac536c6a584e,1924-05-07,1995-06-27,999-71-7192,S99991972,X17367753X,Mr.,Rusty501,Shields502,,,M,white,nonhispanic,M,Springfield  Massachusetts  US,988 Koss Dale,Boston,Massachusetts,Suffolk County,2131.0,42.311092174895904,-71.15867391139872,683962.949,533351.4510000007,98.5160848733744,60.02190280629706,43,1995-06-28 17:20:16,11.118412046543463,True,True,True,3,High Confidence
03c0662e-1e95-6445-3826-d502e8c5ccfb,2006-08-13,03c0662e-1e95-6445-3826-d502e8c5ccfb,1941-08-05,2011-12-22,999-44-9833,S99947172,X70257612X,Mr.,Cornelius968,Kovacek682,,,M,white,nonhispanic,M,Burlington  Massachusetts  US,199 Christiansen Rest Suite 40,Chicopee,Massachusetts,Hampden County,1013.0,42.171704801998,-72.56337726873133,2903800.1674999995,6342.0825,81.2703627652293,65.02121834360027,149,2011-12-28 06:23:06,5.374401095140315,True,True,True,3,High Confidence
03c207b8-9776-3520-b0c1-31aa0928665c,1986-11-19,03c207b8-9776-3520-b0c1-31aa0928665c,1923-09-11,,999-96-2310,S99974222,X26293280X,Mr.,Randell912,Goodwin327,,,M,white,nonhispanic,M,South Hadley  Massachusetts  US,377 Auer Tunnel,Mansfield,Massachusetts,Bristol County,,41.97760196670724,-71.2109892101184,2451585.1665,139084.70349999997,99.17043121149898,63.1895961670089,104,2021-10-14 13:24:50,34.902121834360024,False,False,False,1,Low Confidence
03c95661-1268-f2a4-a69b-e1aa4cc65e17,1935-10-28,03c95661-1268-f2a4-a69b-e1aa4cc65e17,1923-04-18,,999-95-6403,S99930681,X68330773X,Ms.,Leanne251,Barrows492,MD,,S,white,nonhispanic,F,Westborough  Massachusetts  US,580 Ullrich Viaduct,South Duxbury,Massachusetts,Plymouth County,,42.02675901054969,-70.64172162597525,3860116.1280000014,290404.39200000005,99.57015742642027,12.528405201916495,110,2022-01-15 20:32:30,86.217659137577,False,False,False,1,Low Confidence
03ec84a6-eb14-bd09-cb3a-795bd98742c3,1997-07-26,03ec84a6-eb14-bd09-cb3a-795bd98742c3,1930-04-25,2009-09-29,999-66-1511,S99988154,X70164376X,Mr.,Luis923,Quezada963,,,M,white,hispanic,M,Gaudalajara  Jalisco  MX,818 Eichmann Branch,Boston,Massachusetts,Suffolk County,2127.0,42.30379727164789,-71.12927027210931,2244067.083999999,1343680.166,92.55030800821355,67.25256673511294,121,2009-10-02 17:11:29,12.186173853524982,True,True,True,3,High Confidence
0413c3f1-adb2-8c86-d16c-bb9f9bc838be,1966-10-07,0413c3f1-adb2-8c86-d16c-bb9f9bc838be,1931-03-08,1971-04-12,999-70-8963,S99976214,X34695534X,Mrs.,Nettie309,Raynor401,,Swaniawski813,M,white,nonhispanic,F,Braintree  Massachusetts  US,1044 Wiegand Trafficway Suite 84,Newton,Massachusetts,Middlesex County,2465.0,42.2863117491711,-71.1419388754616,1448253.2159999995,367794.19400000054,91.68240930869267,35.58384668035592,64,1971-04-18 15:03:52,4.528405201916495,True,True,True,3,High Confidence
0424aa46-9b57-40a1-4572-3280489ea2a4,1991-03-08,0424aa46-9b57-40a1-4572-3280489ea2a4,1923-01-18,1991-04-18,999-92-4901,S99922702,X14255421X,Ms.,Katherina205,Douglas31,,,S,white,nonhispanic,F,Barnstable  Massachusetts  US,583 Bergstrom Approach Apt 95,Shrewsbury,Massachusetts,Worcester County,,42.303715605691195,-71.69563421057589,2643852.7855,433531.3445,99.81656399726215,68.13415468856947,63,1991-04-19 07:44:29,0.11498973305954825,True,True,True,3,High Confidence
0425b284-e697-937d-a00b-6fda0f1b9710,2014-04-05,0425b284-e697-937d-a00b-6fda0f1b9710,1948-02-28,2017-01-19,999-82-5875,S99947383,X19040930X,Ms.,Angelo118,Hermiston71,,,S,black,nonhispanic,F,Bridgewater  Massachusetts  US,712 Hartmann View,Boston,Massachusetts,Suffolk County,2467.0,42.39696755392489,-71.00325062996568,1278977.9105,362470.4194999998,74.70499657768652,66.09993155373031,35,2017-01-21 11:49:44,2.7980835044490076,True,True,True,3,High Confidence
044156a0-5a78-3acf-436c-d9d3da13c60d,2000-08-03,044156a0-5a78-3acf-436c-d9d3da13c60d,1932-07-18,2005-02-04,999-20-6288,S99948064,X88769052X,Mr.,Charlie254,Bosco882,,,M,white,nonhispanic,M,Revere  Massachusetts  US,989 Krajcik Overpass Unit 5,Marblehead,Massachusetts,Essex County,1945.0,42.4992956950668,-70.85007839446097,1968300.2785,1023697.3214999998,90.3189596167009,68.04380561259411,113,2005-02-07 12:32:23,4.514715947980835,True,True,True,3,High Confidence
044ebd34-67bc-b913-44cc-53d5f4447ae5,1947-08-20,044ebd34-67bc-b913-44cc-53d5f4447ae5,1932-04-02,,999-10-5246,S99976957,X27640698X,Mrs.,Shawnta32,Trantow673,,Prohaska837,M,white,nonhispanic,F,Norton Center  Massachusetts  US,914 Schinner Overpass Suite 67,Halifax,Massachusetts,Plymouth County,,41.96024224092913,-70.83743740753246,2439457.1074999995,267908.52249999996,90.61190965092402,15.381245722108146,105,2021-11-14 04:24:36,74.23682409308692,True,False,True,2,Moderate Confidence
0454158f-0daf-0bfb-642a-e0d836593183,1986-02-22,0454158f-0daf-0bfb-642a-e0d836593183,1939-10-31,,999-67-7530,S99938217,X24309656X,Mrs.,Arlean815,McLaughlin530,,Abernathy524,M,white,nonhispanic,F,Whitman  Massachusetts  US,259 Sporer Spur,Canton,Massachusetts,Norfolk County,,42.216195975872466,-71.08042814625942,2339052.1474999995,1188255.9224999992,83.03353867214237,46.313483915126625,130,2021-12-22 03:14:33,35.83025325119781,False,False,False,1,Low Confidence
0478885e-20be-8de0-c498-f34757f76e82,2002-12-11,0478885e-20be-8de0-c498-f34757f76e82,1941-10-14,2013-05-08,999-45-9491,S99946115,X16060690X,Mr.,Freeman822,Shields502,,,M,white,nonhispanic,M,Norton  Massachusetts  US,446 Senger Rest,Norfolk,Massachusetts,Norfolk County,,42.0864488351924,-71.36872119858647,1834114.7925,1271473.6474999995,81.07871321013005,61.158110882956876,176,2013-05-15 02:53:18,10.425735797399042,True,True,True,3,High Confidence
04815281-413b-06c6-599e-4f193eac3c18,1989-03-24,04815281-413b-06c6-599e-4f193eac3c18,1923-08-31,1991-12-26,999-81-6809,S99984875,X68073896X,Mr.,Wilbur107,Zulauf375,,,M,asian,nonhispanic,M,Rowley  Massachusetts  US,581 Ullrich Avenue,Amherst,Massachusetts,Hampshire County,,42.38685985069305,-72.4896132403225,882716.7170000001,338275.943,99.20054757015743,65.56331279945243,93,1991-12-28 06:39:57,2.7624914442162902,True,True,True,3,High Confidence
04ab2fef-39a4-c27b-5b5e-e3f59a588d02,1987-04-22,04ab2fef-39a4-c27b-5b5e-e3f59a588d02,1926-06-30,1989-03-22,999-29-5887,S99939496,X23228426X,Mr.,Jordan900,Schoen8,,,M,white,nonhispanic,M,West Wareham  Massachusetts  US,684 Breitenberg Skyway,Pinehurst,Massachusetts,Middlesex County,1866.0,42.550001504935366,-71.19207078987804,1735861.299999999,2508.4799999999996,96.36960985626284,60.8104038329911,64,1989-03-29 17:06:09,1.9356605065023955,False,True,True,2,Moderate Confidence
